t,fish_y,bar_y,vf_px_s,vb_px_s,pos_f,pos_b,vel_f,vel_b,action,prev_action,ui_h
38551.334,855.2,881.6,-37.4,0.0,0.820,0.864,-0.034,0.000,1,1,605
38551.391,853.5,856.3,-30.5,0.0,0.817,0.822,-0.028,0.000,1,1,605
38551.450,848.4,845.6,-53.3,0.0,0.809,0.804,-0.049,0.000,1,1,605
38551.506,847.8,825.8,-50.5,0.0,0.808,0.772,-0.046,0.000,1,1,605
38551.566,844.4,816.1,-37.6,0.0,0.802,0.756,-0.034,0.000,1,1,605
38551.628,842.8,808.2,-40.8,0.0,0.800,0.742,-0.037,0.000,1,1,605
38551.686,839.9,773.1,-38.4,0.0,0.795,0.684,-0.035,0.000,0,1,605
38551.745,837.7,743.6,-42.6,0.0,0.791,0.636,-0.039,0.000,0,0,605
38551.802,836.0,716.4,-36.0,0.0,0.788,0.591,-0.033,0.000,0,0,605
38551.861,833.4,689.3,-36.3,0.0,0.784,0.546,-0.033,0.000,0,0,605
38551.916,830.9,664.9,-43.0,0.0,0.780,0.506,-0.039,0.000,0,0,605
38551.971,830.0,658.1,-33.5,0.0,0.779,0.494,-0.031,0.000,0,0,605
38552.031,828.0,658.1,-26.4,0.0,0.775,0.494,-0.024,0.000,0,0,605
38552.086,826.9,623.1,-27.1,0.0,0.773,0.436,-0.025,0.000,0,0,605
38552.141,825.8,615.1,-21.9,0.0,0.772,0.423,-0.020,0.000,0,0,605
38552.202,824.3,606.0,-21.8,0.0,0.769,0.408,-0.020,0.000,0,0,605
38552.258,821.2,601.5,-35.3,0.0,0.764,0.401,-0.032,0.000,0,0,605
38552.318,820.4,598.3,-34.3,0.0,0.763,0.396,-0.031,0.000,0,0,605
38552.379,819.0,597.5,-21.8,0.0,0.760,0.394,-0.020,0.000,0,0,605
38552.439,817.8,603.2,-21.1,0.0,0.758,0.404,-0.019,0.000,0,0,605
38552.519,817.0,607.1,-15.5,0.0,0.757,0.410,-0.014,0.000,0,0,605
38552.578,813.9,612.3,-25.2,0.0,0.752,0.419,-0.023,0.000,0,0,605
38552.634,811.6,640.0,-42.4,0.0,0.748,0.464,-0.039,0.000,0,0,605
38552.692,809.9,643.7,-36.4,0.0,0.745,0.471,-0.033,0.000,0,0,605
38552.746,809.3,679.3,-23.5,0.0,0.744,0.529,-0.021,0.000,0,0,605
38552.800,808.8,691.8,-13.1,0.0,0.743,0.550,-0.012,0.000,0,0,605
38552.855,809.0,721.3,-4.7,0.0,0.744,0.599,-0.004,0.000,0,0,605
38552.914,808.2,761.8,-5.0,0.0,0.742,0.666,-0.005,0.000,0,0,605
38552.970,807.6,785.0,-10.8,0.0,0.742,0.704,-0.010,0.000,0,0,605
38553.025,808.8,800.6,1.9,0.0,0.743,0.730,0.002,0.000,0,0,605
38553.082,811.6,822.4,28.9,0.0,0.748,0.766,0.026,0.000,1,0,605
38553.141,815.6,888.2,52.7,0.0,0.755,0.875,0.048,0.000,1,1,605
38553.195,818.4,887.1,58.8,0.0,0.759,0.873,0.054,0.000,1,1,605
38553.249,822.9,841.9,66.1,0.0,0.767,0.798,0.060,0.000,1,1,605
38553.305,824.6,826.0,58.6,0.0,0.770,0.772,0.054,0.000,1,1,605
38553.365,831.1,812.2,68.7,0.0,0.780,0.749,0.063,0.000,0,1,605
38553.425,836.0,812.2,89.1,0.0,0.788,0.749,0.081,0.000,0,0,605
38553.480,839.1,717.0,73.3,0.0,0.794,0.592,0.067,0.000,0,0,605
38553.534,844.4,676.8,76.9,0.0,0.802,0.525,0.070,0.000,0,0,605
38553.588,846.1,660.1,67.9,0.0,0.805,0.498,0.062,0.000,0,0,605
38553.658,849.8,635.5,48.5,0.0,0.811,0.457,0.044,0.000,0,0,605
38553.718,856.9,596.1,75.2,0.0,0.823,0.392,0.069,0.000,0,0,605
38553.782,858.6,577.5,71.2,0.0,0.826,0.361,0.065,0.000,0,0,605
38553.836,863.4,558.1,57.6,0.0,0.834,0.329,0.053,0.000,0,0,605
38553.891,866.3,547.9,67.6,0.0,0.838,0.312,0.062,0.000,0,0,605
38553.946,871.1,529.5,68.8,0.0,0.846,0.282,0.063,0.000,0,0,605
38554.001,874.5,529.5,73.6,0.0,0.852,0.282,0.067,0.000,0,0,605
38554.056,875.6,509.8,47.9,0.0,0.854,0.249,0.044,0.000,0,0,605
38554.112,880.1,507.2,50.5,0.0,0.861,0.245,0.046,0.000,0,0,605
38554.166,882.3,502.1,58.2,0.0,0.865,0.236,0.053,0.000,0,0,605
38554.220,884.7,502.3,45.3,0.0,0.869,0.237,0.041,0.000,0,0,605
38554.287,886.9,504.9,40.0,0.0,0.873,0.241,0.036,0.000,0,0,605
38554.348,890.3,512.1,43.3,0.0,0.878,0.253,0.040,0.000,0,0,605
38554.404,892.0,513.7,43.5,0.0,0.881,0.256,0.040,0.000,0,0,605
38554.463,891.5,514.2,16.4,0.0,0.880,0.257,0.015,0.000,0,0,605
38554.521,892.7,514.2,8.1,0.0,0.882,0.257,0.007,0.000,0,0,605
38554.577,892.6,519.9,9.7,0.0,0.882,0.266,0.009,0.000,0,0,605
38554.631,892.5,519.6,-0.1,0.0,0.882,0.265,-0.000,0.000,0,0,605
